sample_id,geochronid,analysis_document,usable_flag,reason,parse_status,row_parser_used,table_rows_extracted,non_d_rows,d_rows,group_counts,interpretation_notes,error
168973,168973.1,168973.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,21,21,0,LEGACY_ROWS:21,"All analyses are concordant or slightly discordant, with the discordance pattern loss. Eighteen concordant and slightly discordant analyses of 18 zircons have Pb/ 206Pb ratios defining a single population and indicating a weighted mean The date of 2656 ± 4 Ma indicated by the weighted mean 207Pb/206Pb ratio of 18 concordant and slightly discordant analyses is interpreted as the time of igneous",
168983,168983.1,168983.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,34,34,0,LEGACY_ROWS:34,"The analyses are concordant to highly discordant and indicate a wide range of defining a single population and indicating a weighted mean 207Pb/206Pb date of 1330 ± 70 Ma (chi-squared = 0.17). Analysis 4.3 is discordant and indicates a younger a weighted mean 207Pb/206Pb date of 1776 ± 8 Ma (chi-squared = 0.91). Discordant inferred to be of detrital origin. Consequently, the weighted mean 207Pb/206Pb date of",
171773,171773.1,171773.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,35,35,0,LEGACY_ROWS:35,"and elliptical single-crystal quartz grains (85 vol.%) and concordant and highly discordant analyses of 24 zircons locally clouded by limonite, clay, or both. There are rare Consequently, the weighted mean 207Pb/206Pb date of and extremely ﬁne-grained quartz. The single-crystal quartz discordant analyses of Group 1 is interpreted as a",
177915,177915.1,177915.1.pdf,YES_MODERATE_CONFIDENCE,Parsed table with >=3 non-D analyses.,OK_UPBDATA,UPBDATA_LINK,67,64,3,D:3; P:9; S:49; Y:6,"plagioclase grains, 10–15% fine-grained biotite, 55% Most analyses are concordant to slightly discordant biotite is disseminated as patches, short parallel lamellae, are imprecise or unreliable, and are not considered The larger quartz and feldspar grains are rounded yield a weighted mean 207Pb*/206Pb* date of 2660 ± 14 Ma Figure 1. Cathodoluminescence image of representative zircons from sample 177915: on the weighted mean 207Pb*/206Pb* date of the six zircons WINGATE, M. T. D., and BODORKOS, S., 2007, 177914: leucocratic",
177916,177916.1,177916.1.pdf,YES_MODERATE_CONFIDENCE,Parsed table with >=3 non-D analyses.,OK_UPBDATA,UPBDATA_LINK,23,22,1,D:1; P:1; Y:21,"lamellae are rich in schistose biotite flakes less than Most analyses range from concordant to slightly discordant minerals, are also disseminated. which yield a weighted mean 207 Pb*/ 206 Pb* date of observed assemblage is not diagnostic, but upper Group 1 is interpreted as the maximum age of deposition Figure 1. Cathodoluminescence image of representative zircons from sample 177916: igneous crystallization age of 2680 ± 5 Ma, obtained from Science Letters, v. 26, p. 207–221. single analysis (23.1) in Group 2 is slightly discordant, WINGATE, M. T. D., and BODORKOS, S., 2007b, 177919: felsic",
178010,178010.1,178010.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,27,27,0,LEGACY_ROWS:27,"quartz grains have inclusions of apatite, suggesting The analyses are concordant to highly discordant, with the rimmed by limonite. Flakes altered to ?kaolin and diffuse slightly discordant analysis 24.1, assigned to Group 1, rich in carbonaceous matter, but they are not abundant and indicating a weighted mean 207 Pb/ 206 Pb date of specimen. Other clasts contain leucoxene with or without 21.1 and 12.1, and slightly discordant analyses 5.1 and quartz. There is also rare pyrite, about 0.2 mm in grain a single population and indicating a weighted mean goethite, or hematite–goethite, apparently replacing Eleven concordant and slightly discordant analyses of date of 3294 ± 14 Ma indicated by the weighted mean 27.1, and slightly discordant analysis 24.1 of Group 1, Recommended reference for this publication:",
178026,178026.1,178026.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,25,25,0,LEGACY_ROWS:25,"The analyses are concordant to slightly discordant, with Data obtained: 14/07/2003; Data released: 30/06/2005 population and indicating a weighted mean 207Pb/206Pb date dates, whereas discordant analysis 9.1 indicates a slightly",
178037,178037.1,178037.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,21,21,0,LEGACY_ROWS:21,"present, suggesting some oxidized I-type characteristics. The analyses are concordant to slightly discordant, with and probably andesine–oligoclase, but has irregularly concordant and highly discordant analyses of 15 zircons locally intense in areas of high ﬂuid activity, with sparse and indicating a weighted mean 207 Pb/ 206 Pb date of patches, of secondary origin. Much of the biotite is altered are highly discordant and cannot be conﬁdently grouped. or patches of probable ferristilpnomelane in places. The discordant analyses of 15 zircons is interpreted as the age of igneous crystallization of the granodiorite. The remaining discordant analyses are interpreted to be of sites",
178052,178052.1,178052.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,17,17,0,LEGACY_ROWS:17,"?allanite, sericite, clinozoisite, carbonate, and zircon. The analyses are concordant to highly discordant, with present, apparently from andesine to oligoclase, with rims highly discordant analyses of nine zircons have 207Pb/206Pb interstitial microcline as poikilitic grains up to 4 mm in weighted mean 207Pb/206Pb date of 2688 ± 11 Ma (chi- a common accessory mineral. There are grains of epidote discordant analyses of nine zircons is interpreted as the with altered cores that could have been allanite. The age of igneous crystallization of the microgranodiorite.",
178054,178054.1,178054.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,14,14,0,LEGACY_ROWS:14,"lenses of quartz parallel to the schistosity. The c-axes of The analyses are concordant to highly discordant, with the also abundant, mostly in separate layers that are best seen highly discordant analyses of 11 zircons have 207Pb/206Pb (typically <50 µm) for adequate optical identiﬁcation. weighted mean 207Pb/206Pb date of 2674 ± 9 Ma (chi- 0.5 mm in diameter. Feldspathic aggregates contain minor are discordant and cannot be grouped. about 40 to 100 µm. Cores of plagioclase are partly altered discordant analyses of 11 zircons is interpreted as the age to sericite and clinozoisite. Some of the biotite has been of igneous crystallization of the granodiorite. Discordant (Discordant analyses 9.1 and 13.1 not plotted)",
178057,178057.1,178057.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,25,25,0,LEGACY_ROWS:25,"smaller zircons, less than 70 µm in length, are clouded and The analyses are concordant to slightly discordant, with low-temperature metamorphic origin, with chlorite, of three groups. Nine concordant to slightly discordant to moderate, low-temperature hydrothermal, saussurite- weighted mean 207Pb/206Pb date of 2648 ± 6 Ma (chi- like alteration. Narrow carbonate-filled fractures are squared = 1.50). Six concordant to slightly discordant low-temperature alteration producing chlorite–epidote– and indicating a weighted mean 207 Pb/ 206 Pb date of conditions, and weak to moderate saussuritization discordant analyses 5.1, 15.1, and 20.1, assigned (Discordant analysis 3.1 not plotted) population and indicating a weighted mean 207Pb/206Pb this interpretation is correct, then the 207Pb/206Pb date of",
178058,178058.1,178058.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,24,24,0,LEGACY_ROWS:24,"length, with perthitic and antiperthitic textures preserved The analyses are concordant to highly discordant, with contain large, poorly deﬁned patches of myrmekite. Partly Nineteen concordant to highly discordant analyses of oxide as single grains and small lenses. A single patch Concordant to slightly discordant analyses 4.1, 17.1, opaque oxide grains. Rare, small clouded grains could a weighted mean 207 Pb/ 206 Pb date of 2684 ± 11 Ma be altered zircon, but are more probably altered allanite. (chi-squared = 0.56). Discordant analysis 14.1 indicates a have replaced a small proportion of the biotite, with discordant analyses of Group 1 is interpreted as the age of",
178059,178059.1,178059.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,24,24,0,LEGACY_ROWS:24,"of the larger grains have oscillatory zoning, possibly from The analyses are concordant to highly discordant, with enclosing quartz, plagioclase, and biotite. Irregular, of two groups. Fifteen concordant to highly discordant accompanied by granular opaque oxide (<1 vol.%) and population and indicating a weighted mean 207Pb/206Pb date small, partly clouded crystals of zircon, mostly less than discordant analyses 4.2, 9.1, 13.1, 15.1, and 16.1, assigned grain size has formed as a deuteric or metamorphic mineral population and indicating a weighted mean 207Pb/206Pb date muscovite. Chlorite is a secondary mineral in altered analyses are discordant to highly discordant, and indicate low-temperature hydrothermal alteration. discordant analyses of Group 1 is interpreted as the age of igneous crystallization of the monzogranite. The",
178060,178060.1,178060.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,18,18,0,LEGACY_ROWS:18,"oxide is mostly less than 0.3 mm in grain size, and rare The analyses are concordant to highly discordant, with crystals range from 50 to 200 µm in length and as much as highly discordant analyses of ﬁve zircons (1.1, 1.2, 1.3, clay–sericite with or without clinozoisite alteration. The The remaining analyses are highly discordant and indicate a foliated or gneissic monzogranite with probably low discordant analyses of ﬁve zircons is interpreted as the amphibolite-facies metamorphism and strong deformation, age of igneous crystallization of the monzogranite. The (Discordant analyses 7.1, 9.1, 10.1, 11.1 and 12.1 not plotted)",
178062,178062.1,178062.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,23,23,0,LEGACY_ROWS:23,"parallel to the quartz lenses, is present, but there is some The analyses are concordant to highly discordant, with the allanite, up to 0.8 mm in grain size, are present, with rare highly discordant analyses of 12 zircons (1.1, 3.1, 6.1, quartz and ﬁner grained feldspar are recrystallized. Minor population and indicating a weighted mean 207Pb/206Pb muscovite has formed in and adjacent to biotite, with date of 2697 ± 6 Ma (chi-squared = 0.66). Discordant within larger microcline grains. Epidote rims some of the are discordant (7.1), highly discordant (2.1, 5.1, 11.1), or altered allanite, and leucoxene has replaced titanite. The highly reverse discordant (4.1). (Discordant analyses 4.1, 5.1, 12.2 and 12.3 not plotted. discordant analyses of 12 zircons is interpreted as the age of igneous crystallization of the monzogranite. Discordant",
178064,178064.1,178064.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,35,35,0,LEGACY_ROWS:35,"1 mm long. The quartz occurs as anhedral grains up to The analyses are concordant to highly discordant, with up to 0.1 mm in grain size, is sparse. The grain size of highly discordant analyses of nine zircons (2.1, 3.1, 7.1, Analysis 5.1 (Discordant analysis 4.1 not plotted)",
178065,178065.1,178065.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,39,39,0,LEGACY_ROWS:39,"steeply to the southwest. The sample was taken 50 m The analyses are concordant to highly discordant, with age of the sandstone precursor to the quartzite. one of six groups. Eight concordant to highly discordant amounts of accessory muscovite, rutile, and zircon. The Concordant analyses 13.1, 16.1, and 28.1, and discordant inclusions. Mica forms ﬂakes 30 to 100 µm in length, and 1.27). Thirteen concordant to highly discordant analyses mica has been leached, mostly in and adjacent to fractures. and indicating a weighted mean 207 Pb/ 206 Pb date of 27.1 and 35.1, and discordant analysis 25.1, assigned Zircon morphology population and indicating a weighted mean 207Pb/206Pb The zircons isolated from this sample are typically analysis 34.1 and discordant analyses 15.1 and 32.1, or subhedral and with rounded terminations, equant a single population and indicating a weighted mean 80 µm and 160 × 80 µm in size. Most grains are fractured Concordant analysis 23.1 and discordant analyses 11.1 and zonation. Many have a speckled appearance in transmitted a single population and indicating a weighted mean are given in Figure 1. The date of 3276 ± 7 Ma indicated by the weighted mean Pb/206Pb rat",
178066,178066.1,178066.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,35,35,0,LEGACY_ROWS:35,"The analyses are concordant to highly discordant, with the Twenty-ﬁve concordant to highly discordant analyses of and zircon. The sample is a massive quartzite consisting of indicating a weighted mean 207Pb/206Pb date of 3374 ± 3 Ma 0.15 mm in grain size is weakly aligned, but quartz c-axes population and indicating a weighted mean 207Pb/206Pb date deﬁning a single population and indicating a weighted mean and with rounded terminations, equant to slightly elongate, weighted mean 207Pb/206Pb ratio of concordant analyses 19.1 (Discordant analysis 30.1 not plotted)",
178067,178067.1,178067.1.pdf,YES_MODERATE_CONFIDENCE_LEGACY,Legacy table parsed with >=8 analysis rows.,OK_LEGACY,LEGACY_FREEFORM,39,39,0,LEGACY_ROWS:39,"The analyses are concordant to highly discordant, with and partly clouded, fractured zircon (trace). The sample Concordant analysis 11.1 and discordant analyses 5.1, 24.1, very ﬁne grained schistose mica, mostly less than 0.1 mm weighted mean 207Pb/206Pb date of 3283 ± 11 Ma (chi- clouded, and altered. Fluid inclusions in the quartz appear population and indicating a weighted mean 207Pb/206Pb concordant to highly discordant analyses of 13 zircons colourless, pale yellow, dark brown or black, elliptical 1.37). Concordant analysis 22.1, and discordant analyses transmitted light, and many are metamict. The surfaces of a single population and indicating a weighted mean (Discordant analyses 5.1, 24.3 (included in Group 1), 17.1, 20.1 discordant analyses 5.1, 24.1, 24.2, 24.3, and 35.1 of",
181127,181127.1,181127.1.pdf,YES_MODERATE_CONFIDENCE,Parsed table with >=3 non-D analyses.,OK_UPBDATA,UPBDATA_LINK,57,55,2,D:2; S:52; Y:3,"Most analyses are concordant or only slightly discordant, the date of 694 ± 13 Ma for the three analyses in Group 1",
185997,185997.1,185997.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK_UPBDATA,UPBDATA_LINK,7,7,0,I:2; X:5,zircon. The rock displays segregated bands dominated which yield a weighted mean 207Pb*/ 206Pb* date of Figure 1. Cathodoluminescence image of representative zircons from sample 185997:,
194754,194754.1,194754.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK,STRICT_20COL,24,24,0,I:24,"in diameter, and exhibits weak zoning and minor alteration The analyses are concordant to moderately discordant metamict allanite forms subhedral to euhedral, tabular to which yield a weighted mean 207Pb*/ 206Pb* date of Figure 1. Hand specimen image of sample 194754: metamonzogranite, Deep Well Figure 2. Cathodoluminescence image of representative zircons from sample 194754: I is interpreted as the igneous crystallization age of the Survey of Western Australia, WA Geology Online, Explanatory Notes",
195830,195830.1,195830.1.pdf,YES_MODERATE_CONFIDENCE,Parsed table with >=3 non-D analyses.,OK,STRICT_20COL,18,14,4,D:4; X:13; Z:1,"this sample (see below) indicate that either the zircons are The analyses are concordant to strongly discordant inherited from an Archean rock, the sample represents an (Fig. 3). Four analyses are >5% discordant. The dates the assignment of the unit is incorrect. Metamonzogranite are unreliable, and are considered not to be geologically north-northeast, yielded an igneous crystallization age of two groups, based on their 207Pb*/206Pb* ratios: Petrographic description analyses yield a weighted mean 207Pb*/206Pb* date of is interpreted as the age of the dominant inherited Fielding, IOH, Wingate, MTD, Fletcher, IR, Rasmussen, B, Zi, J-W and single analysis in Group Z is interpreted as the age of a Geochronology Record 1862: Geological Survey of Western",
195833,195833.1,195833.1.pdf,YES_MODERATE_CONFIDENCE,Parsed table with >=3 non-D analyses.,OK,STRICT_20COL,124,98,26,D:26; P:1; S:96; Y:1,"of the grains and the lack of primary sedimentary The analyses are concordant to strongly discordant features suggest that the rock is recrystallized. A detailed (Fig. 2). Twenty-six analyses are >5% discordant. The are unreliable, and considered not to be geologically >5%). One highly discordant analysis in Group D is not shown depositional age can be based on the weighted mean sandstone, Sydney Heads Pass; Geochronology Record 1514:",
201514,201514.1,201514.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK,STRICT_20COL,18,18,0,I:18,"magnetite and trace myrmekite and zircon. Plagioclase The analyses are concordant to moderately discordant texture. Quartz is anhedral, irregular, up to 4 mm in size, a weighted mean 207Pb*/206Pb* date of 2710 ± 4 Ma of plagioclase and quartz, and displays microcline is interpreted as the igneous crystallization age of the Figure 1. Hand specimen image of sample 201514: metagranodiorite, Deep Well Figure 2. Cathodoluminescence image of representative zircons from sample 201514:",
201536,201536.1,201536.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK,STRICT_20COL,21,19,2,D:2; I:16; X:3,"The analyses are concordant to strongly discordant Survey of Western Australia, 3p. (Fig. 3). Two analyses are >5% discordant. The dates Wingate, MTD, Kirkland, CL and Ivanic, TJ 2015b, 198212: porphyritic are unreliable, and are considered not to be geologically Geological Survey of Western Australia, 4p. which yield a weighted mean 207Pb*/ 206Pb* date of is interpreted as the igneous crystallization age of the metamonzogranite, Frogmore Bore; Geochronology Record 1822:",
203733,203733.1,203733.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK,STRICT_20COL,18,6,12,D:12; I:4; P:2,"microcline) is subhedral to euhedral and zoned. Rare The analyses are concordant to strongly discordant (Fig. 3). plagioclase phenocrysts are up to 8 mm in size and Twelve analyses are >5% discordant. The dates obtained surrounded by a fine-grained mosaic of quartz and from these 12 analyses (Group D; Table 1) are unreliable, Figure 2. Cathodoluminescence image of all zircons from sample 203733: porphyritic which yield a weighted mean 207 Pb*/ 206 Pb* date of Sapkota, J, Squire, RJ, Campbell, IH and Pegg, I 2015, Evolution of is 3.4% discordant, and therefore interpreted as a minimum Online, Explanatory Notes extract, viewed 23 December 2021, <8% discordant yields concordia intercepts at 2718 ± 42 polyphased gold mineralisation in the Agnew District (Yilgarn Craton,",
203735,203735.1,203735.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK,STRICT_20COL,17,16,1,D:1; I:8; P:8,"The analyses are concordant to strongly discordant (Fig. 3). Hall, CE, Wyche, NL and Sapkota, J (partial report), Black Flag Group One analysis is >7% discordant. The date obtained from (A-BF-xf-s): Geological Survey of Western Australia, WA Geology this analysis (Group D; Table 1) is unreliable, and is Online, Explanatory Notes extract, viewed 05 January 2022, (Table 1), which yield a weighted mean 207Pb*/206Pb* date microgranite, Lake Lefroy; Geochronology Record 1654: Geological 2669– 2640 Ma, and a weighted mean 207Pb*/206Pb* date of Group I is tentatively interpreted as the age of igneous Dolerite sill and gold mineralization at the Mt Charlotte mine, Eastern",
203736,203736.1,203736.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK,STRICT_20COL,28,22,6,D:6; I:18; P:3; X:1,"The analyses are concordant to moderately discordant Survey of Western Australia, 4p. (Fig. 3). Six analyses are >5% discordant. The dates Nelson, DR 1995, 112110: felsic volcanic rock, Nelson’s Fleet; unreliable, and are considered not to be geologically which yield a weighted mean 207 Pb*/ 206 Pb* date of xenotime U-Pb age constraints on the emplacement of the Golden Mile interpreted as the age of igneous crystallization. The date Stacey, JS and Kramers, JD 1975, Approximation of terrestrial lead isotope is interpreted as the age of an inherited zircon. The dates v. 26, p. 207–221.",
203738,203738.1,203738.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK,STRICT_20COL,29,13,16,D:16; I:9; P:4,"The analyses are concordant to strongly discordant (Fig. 3). v. 26, p. 207–221. Sixteen analyses are >5% discordant. The dates obtained Standing, JG 2008, Terrane amalgamation in the Eastern Goldfields from these 16 analyses (Group D; Table 1) are unreliable, Superterrane, Yilgarn Craton: Evidence from tectonostratigraphic which yield a weighted mean 207 Pb*/ 206 Pb* date of because the average composition is about 3.1% discordant.",
203739,203739.1,203739.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK,STRICT_20COL,20,17,3,D:3; I:14; P:1; X:2,"The analyses are concordant to moderately discordant Letters, v. 26, p. 207–221. (Fig. 3). Three analyses are >5% discordant. The dates Standing, JG 2008, Terrane amalgamation in the Eastern Goldfields are unreliable, and are considered not to be geologically studies of the Laverton Greenstone Belt: Precambrian Research, which yield a weighted mean 207Pb*/ 206Pb* date of which yield a weighted mean 207Pb*/ 206Pb* date of Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH is interpreted as age of igneous crystallization. The date publication interpreted as the age of an inherited component. The date 203739: felsic metavolcanic rock, Lake Carey; Geochronology Record",
203740,203740.1,203740.1.pdf,YES_HIGH_CONFIDENCE,Group I present with >=5 non-D analyses.,OK,STRICT_20COL,30,18,12,D:12; I:15; P:3,"The analyses are concordant to strongly discordant (Fig. 3). orogenic-style overprint on a magmatic-hydrothermal magnetite-calcite Twelve analyses are >6% discordant. The dates obtained alteration pipe?: Mineralium Deposita, v. 39, p. 473–494. from these 12 analyses (Group D; Table 1) are unreliable, Stacey, JS and Kramers, JD 1975, Approximation of terrestrial lead isotope is interpreted as the age of igneous crystallization. An Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH is provided by the weighted mean 207Pb*/206Pb* date of Record 1882: Geological Survey of Western Australia, 5p.",
203748,203748.1,203748.1.pdf,NO_DATA_PARSED,No table rows parsed from PDF or linked data table.,NO_TABLE_ROWS_PARSED,,0,0,0,,"The analyses are concordant to moderately discordant (Fig. 4). Four analyses are >5% discordant. The dates obtained from these four analyses (Group D; Table 1) are unreliable, and are considered not to be geologically significant. The remaining Group I comprises 21 analyses of 19 zircons (Table 1), which yield a concordia age of 1167 ± 5 Ma (MSWD = 1.5). These The date of 1167 ± 5 Ma for the 21 analyses in Group I is interpreted as the magmatic crystallization age of the",
